iter	Passed	Remaining
559	1812	1424
560	1815	1420
561	1817	1416
562	1820	1412
563	1822	1408
564	1824	1404
565	1826	1400
566	1829	1396
567	1831	1393
568	1833	1388
569	1835	1384
570	1837	1380
571	1840	1376
572	1842	1373
573	1844	1369
574	1847	1365
575	1849	1361
576	1851	1357
577	1853	1353
578	1855	1349
579	1857	1345
580	1859	1341
581	1862	1337
582	1864	1333
583	1866	1329
584	1868	1325
585	1870	1321
586	1873	1317
587	1875	1313
588	1877	1310
589	1879	1306
590	1881	1302
591	1884	1298
592	1886	1294
593	1888	1290
594	1890	1286
595	1892	1283
596	1895	1279
597	1898	1276
598	1900	1272
599	1902	1268
600	1905	1264
601	1907	1261
602	1909	1257
603	1912	1253
604	1914	1249
605	1916	1246
606	1919	1242
607	1921	1238
608	1923	1234
609	1926	1231
610	1928	1227
611	1930	1223
612	1934	1221
613	1937	1218
614	1940	1214
615	1942	1210
616	1944	1207
617	1946	1203
618	1948	1199
619	1951	1195
620	1953	1192
621	1955	1188
622	1957	1184
623	1959	1180
624	1961	1177
625	1964	1173
626	1965	1169
627	1968	1165
628	1970	1162
629	1972	1158
630	1974	1154
631	1976	1150
632	1978	1147
633	1980	1143
634	1983	1140
635	1985	1136
636	1987	1132
637	1989	1129
638	1991	1125
639	1994	1121
640	2000	1120
641	2002	1116
642	2005	1113
643	2007	1109
644	2010	1106
645	2013	1103
646	2015	1099
647	2018	1096
648	2021	1093
649	2023	1089
650	2026	1086
651	2028	1082
652	2030	1079
653	2039	1079
654	2042	1075
655	2044	1072
656	2046	1068
657	2048	1064
658	2050	1060
659	2051	1057
660	2053	1053
661	2055	1049
662	2057	1045
663	2059	1041
664	2060	1038
665	2062	1034
666	2064	1030
667	2066	1026
668	2068	1023
669	2070	1019
670	2071	1015
671	2073	1012
672	2075	1008
673	2077	1004
674	2079	1001
675	2081	997
676	2083	994
677	2087	991
678	2090	988
679	2093	985
680	2097	982
681	2100	979
682	2102	975
683	2117	978
684	2119	974
685	2121	971
686	2124	967
687	2126	964
688	2128	960
689	2131	957
690	2133	954
691	2135	950
692	2139	947
693	2142	944
694	2145	941
695	2147	938
696	2150	934
697	2152	931
698	2155	927
699	2157	924
700	2160	921
701	2162	918
702	2165	914
703	2167	911
704	2169	907
705	2171	904
706	2173	900
707	2181	899
708	2184	896
709	2186	893
710	2188	889
711	2191	886
712	2193	883
713	2196	879
714	2198	876
715	2200	872
716	2202	869
717	2205	866
718	2208	863
719	2211	859
720	2213	856
721	2230	858
722	2232	855
723	2234	852
724	2238	848
725	2240	845
726	2242	842
727	2244	838
728	2247	835
729	2249	831
730	2252	828
731	2254	825
732	2256	821
733	2258	818
734	2261	815
735	2263	811
736	2265	808
737	2269	805
738	2271	802
739	2273	798
740	2275	795
741	2277	792
742	2280	788
743	2283	785
744	2285	782
745	2287	778
746	2302	779
747	2304	776
748	2307	773
749	2315	771
750	2318	768
751	2320	765
752	2323	762
753	2329	760
754	2331	756
755	2333	753
756	2336	750
757	2338	746
758	2340	743
759	2343	740
760	2346	736
761	2348	733
762	2350	730
763	2352	726
764	2354	723
